size,mode,policy,beforeSuccess,afterSuccess,beforeMedianMs,afterMedianMs,beforeP95Ms,afterP95Ms,beforeWords,afterWords,beforeIntersections,afterIntersections
7,en_to_ar,compatibility,100,100,4.110062499996275,4.1227079999989655,5.527999999991152,5.6777080000028946,26,26,36,36
9,en_to_ar,compatibility,100,100,8.11033349999343,7.998416499991436,16.21570899998187,15.592250000016065,42,42,57,57
11,en_to_ar,compatibility,93.33333333333333,93.33333333333333,15.184229000005871,16.756645999998,1804.1876249999914,1804.1768750000047,59.5,59.5,85,85
13,en_to_ar,compatibility,93.33333333333333,93.33333333333333,64.23781250001048,60.34904149999784,1806.514291999978,1806.9562920000171,82,82,119,119
7,ar_to_en,compatibility,100,100,5.9363124999945285,6.092395499988925,130.70537499999045,132.97320800001035,22,22,41,41
9,ar_to_en,compatibility,100,100,374.54572950000875,378.9134374999994,1036.46875,1045.3168330000044,32,31,64,65.5
11,ar_to_en,compatibility,100,100,790.8760835000139,1205.5999999999913,2700.090458000006,2343.652457999997,44,42,95,88
13,ar_to_en,compatibility,96.66666666666667,96.66666666666667,469.92014599999675,483.5351459999947,4009.4652910000295,4018.056749999989,64,64,131,131
7,en_to_ar,approved-only,100,100,3.5402084999950603,3.792229500009853,902.9998749999795,903.0328329999465,26,26,36,36
9,en_to_ar,approved-only,90,90,14.836166999983107,14.83927049999329,1703.2267909999937,1702.5999580000062,42,42,57,57
11,en_to_ar,approved-only,63.33333333333333,63.33333333333333,1022.694875000001,1023.4140415000074,1804.264542000019,1805.1176669999986,60,60,85,85
13,en_to_ar,approved-only,56.666666666666664,56.666666666666664,1078.1018545000188,1074.2526669999934,1808.3087079999968,1807.8738750000193,80,80,119,119
7,ar_to_en,approved-only,96.66666666666667,96.66666666666667,13.495540999996592,16.650354499979585,165.35779200002435,171.493959000014,22,22,41,41
9,ar_to_en,approved-only,86.66666666666667,100,764.1341670000111,774.4315630000056,3992.3680419999873,1300.3904579999798,32,32,64,64
11,ar_to_en,approved-only,23.333333333333332,36.666666666666664,4502.654125000001,4512.921437500001,4504.475333000009,4514.846167000011,44,44,88,88
13,ar_to_en,approved-only,0,0,4514.447270999983,1361.682812500003,4517.29904199997,1677.648583000002,,,,
