family,batch,density,id,signature,score,ms,slots,white,whitePct,crossings,checkedPct,averageLength,shortPct,three,long,fullLength,solutionFound,validatorPassed,proof,nodes,deadEnds,backtracks,timeouts,attempts,rootContradictions,hallContradictions,uniquenessContradictions,exhaustiveFailures,rootTimeouts,cachedFailures,probes
unchecked,0,0.3,863001d61137c6c0,0010111101110/0010011110111/1111011110111/0111110011101/1111111100111/0100111101001/0011101111010/1111100101111/0111111011110/1110010100111/1110111111111/1011101110101/1010111010101,71.96414973659371,36.03991599999995,51,119,70.41420118343196,87,73.10924369747899,4.03921568627451,47.05882352941176,24,0,0,True,True,,54,8,11,0,1,0,0,0,0,0,0,0
unchecked,0,0.3,1bf272972652c775,1110011100101/0101010010111/1111110011111/0111101110010/1110101111111/1001011101110/1011100111101/1111101011101/1011111110111/0111101010100/1111011111111/0101111001110/0111011101110,71.70796980170871,28.32541600000002,49,119,70.41420118343196,82,68.90756302521008,4.1020408163265305,51.02040816326531,25,0,0,True,True,,52,12,14,0,1,0,0,0,0,0,0,0
unchecked,0,0.3,abb51da8f2b81fbf,0111111010111/0010010111110/1111110011110/1010101111101/1001111001111/0111011111001/0111111001111/1110011100101/1111011111111/1010100111100/1111111011111/0010101001111/0111001110111,70.60999111748002,28.315417000000025,46,119,70.41420118343196,79,66.38655462184873,4.304347826086956,39.130434782608695,18,0,0,True,True,,50,17,21,0,1,0,0,0,0,0,0,0
unchecked,0,0.3,7949d2d0143b75f5,0011101010111/0010111010111/1111101111111/1110111100100/1110100111111/0111010011100/1010111011110/1001110100111/1111101110111/0111001111111/1111111110101/1110010111001/1010011110111,70.20767705050827,25.03479200000004,51,119,70.41420118343196,87,73.10924369747899,4.03921568627451,58.82352941176471,30,1,0,True,True,,52,7,7,0,1,0,0,0,0,0,0,0
unchecked,0,0.3,987995bc2ee9a656,1010011100111/1111011101010/1110111111110/1111010101111/1011100111101/0111001111001/0010111011110/1010101110111/1111111001110/1110010100101/1111111111111/1010101110101/1001111010111,69.73224062267865,19.149708000000032,47,119,70.41420118343196,77,64.70588235294117,4.170212765957447,55.319148936170215,26,2,1,True,True,,49,0,2,0,1,0,0,0,0,0,0,0
unchecked,0,0.3,e053db43730c0c5a,0111001111110/0111010010100/1111110111111/1001011101010/1111100111110/1110111001111/0111101010101/1111111110111/0101001011101/1110010010111/1110111111101/1011110111101/1010101111110,69.52684454885087,22.703416999999945,46,119,70.41420118343196,77,64.70588235294117,4.260869565217392,45.65217391304348,21,0,0,True,True,,47,6,6,0,1,0,0,0,0,0,0,0
unchecked,0,0.3,d1035a44c73c1f50,1010010101111/1110011101110/1111110111111/1110010101010/1011111011110/0111001110101/0011101011101/1110111100111/0011101001111/1110101011110/0111011101111/1111110011111/0101011101111,69.48536719264847,19.487916999999925,47,119,70.41420118343196,78,65.54621848739495,4.191489361702128,46.808510638297875,22,1,0,True,True,,50,3,6,0,1,0,0,0,0,0,0,0
unchecked,0,0.3,1a1df460049af777,1111101111001/1001001110101/1111011110111/0011110011100/0010011101111/1111110111111/1010011110111/1111011110101/1011101011100/1011100101010/0111111111111/0111010111010/1110111011110,69.06084033608286,19.78125,49,119,70.41420118343196,82,68.90756302521008,4.1020408163265305,48.97959183673469,24,2,0,True,True,,52,11,13,0,1,0,0,0,0,0,0,0
unchecked,0,0.3,ecafe65444d13555,1111100111101/1110011111001/1111100111111/1001110011100/1001111110111/1111111011101/0111001010101/0111100101010/1110010101111/1001011111111/1111111010101/0011111111100/0111101010111,68.42786183613147,27.553458999999975,48,119,70.41420118343196,82,68.90756302521008,4.1875,45.83333333333333,22,0,0,True,True,,49,6,6,0,1,0,0,0,0,0,0,0
unchecked,0,0.3,01145afddbae27d6,1111110011100/0111110011111/1111111111101/1010011110111/1010111111101/0101001111010/0101110101110/1111001110111/1001110101111/1010101010101/1111111111111/0111001010100/0111011100111,67.9869218778466,150.34683300000006,46,119,70.41420118343196,77,64.70588235294117,4.260869565217392,47.82608695652174,22,2,1,False,False,,60,343,403,20,1,0,0,0,0,0,0,0
