experiment,size,mode,policy,length,templatesRequiringLength,minSlots,maxSlots,medianSlots,minCandidates,maxCandidates
"budget4","13","ar_to_en","approved-only","10","3","1","2","2","54","54"
"budget4","13","en_to_ar","compatibility","12","2","1","2","1.5","172","172"
"budget4","13","en_to_ar","approved-only","12","2","1","2","1.5","13","13"
"budget4","13","ar_to_en","approved-only","11","1","1","1","1","28","28"
"templates48","7","ar_to_en","approved-only","3","144","4","18","8","120","120"
"templates48","7","ar_to_en","approved-only","7","144","4","6","4","219","219"
"templates48","7","ar_to_en","approved-only","5","93","1","6","4","266","266"
"templates48","7","ar_to_en","approved-only","4","55","2","4","4","269","269"
"templates48","7","ar_to_en","approved-only","6","4","1","1","1","239","239"
"templates48","9","ar_to_en","compatibility","3","144","4","24","17","279","279"
"templates48","9","ar_to_en","compatibility","4","118","1","8","4","279","279"
"templates48","9","ar_to_en","compatibility","5","135","1","12","3","279","279"
"templates48","9","ar_to_en","compatibility","9","144","4","8","4","279","279"
"templates48","9","ar_to_en","compatibility","7","51","1","4","2","279","279"
"templates48","9","ar_to_en","compatibility","8","12","1","2","1","279","279"
"templates48","11","ar_to_en","compatibility","3","144","12","36","19.5","217","217"
"templates48","11","ar_to_en","compatibility","4","139","2","18","7","217","217"
"templates48","11","ar_to_en","compatibility","5","125","1","14","5","217","217"
"templates48","11","ar_to_en","compatibility","7","87","1","5","1","217","217"
"templates48","11","ar_to_en","compatibility","11","144","4","6","4","217","217"
"templates48","11","ar_to_en","compatibility","6","120","1","8","4","217","217"
"templates48","11","ar_to_en","compatibility","9","34","1","2","1","217","217"
"templates48","11","ar_to_en","compatibility","10","2","1","1","1","217","217"
"templates48","11","ar_to_en","compatibility","8","1","1","1","1","217","217"
"templates48","11","ar_to_en","approved-only","3","144","10","34","19","120","120"
"templates48","11","ar_to_en","approved-only","4","141","1","20","7","269","269"
"templates48","11","ar_to_en","approved-only","5","130","1","12","5","266","266"
"templates48","11","ar_to_en","approved-only","6","128","1","10","4","239","239"
"templates48","11","ar_to_en","approved-only","7","86","1","5","2","219","219"
"templates48","11","ar_to_en","approved-only","11","144","4","6","4","28","28"
"templates48","11","ar_to_en","approved-only","9","19","1","4","1","78","78"
"templates48","11","ar_to_en","approved-only","10","8","1","2","2","54","54"
"templates48","13","ar_to_en","compatibility","3","144","17","48","29","177","177"
"templates48","13","ar_to_en","compatibility","4","143","2","24","10","178","178"
"templates48","13","ar_to_en","compatibility","5","133","1","16","6","178","178"
"templates48","13","ar_to_en","compatibility","6","127","1","10","5","178","178"
"templates48","13","ar_to_en","compatibility","7","105","1","6","2","178","178"
"templates48","13","ar_to_en","compatibility","13","144","4","7","4","177","177"
"templates48","13","ar_to_en","compatibility","9","42","1","2","1","178","178"
"templates48","13","ar_to_en","compatibility","8","57","1","6","2","178","178"
"templates48","13","ar_to_en","compatibility","12","5","1","1","1","177","177"
"templates48","13","ar_to_en","compatibility","11","11","1","4","1","177","177"
"templates48","13","ar_to_en","compatibility","10","3","1","2","1","177","177"
"templates48","13","ar_to_en","approved-only","3","144","16","47","31","120","120"
"templates48","13","ar_to_en","approved-only","4","141","2","24","8","269","269"
"templates48","13","ar_to_en","approved-only","5","136","1","16","6","266","266"
"templates48","13","ar_to_en","approved-only","6","124","1","12","5","239","239"
"templates48","13","ar_to_en","approved-only","7","93","1","5","2","219","219"
"templates48","13","ar_to_en","approved-only","13","144","4","7","4","8","8"
"templates48","13","ar_to_en","approved-only","8","60","1","4","1","167","167"
"templates48","13","ar_to_en","approved-only","9","43","1","4","1","78","78"
"templates48","13","ar_to_en","approved-only","11","7","1","2","1","28","28"
"templates48","13","en_to_ar","compatibility","2","144","26","70","42","172","172"
"templates48","13","en_to_ar","compatibility","3","144","4","32","16","172","172"
"templates48","13","en_to_ar","compatibility","4","143","2","24","10","173","173"
"templates48","13","en_to_ar","compatibility","5","139","1","14","4","173","173"
"templates48","13","en_to_ar","compatibility","6","112","1","8","2","173","173"
"templates48","13","en_to_ar","compatibility","8","53","1","4","1","173","173"
"templates48","13","en_to_ar","compatibility","7","95","1","5","2","173","173"
"templates48","13","en_to_ar","compatibility","12","18","1","4","1","172","172"
"templates48","13","en_to_ar","compatibility","9","54","1","2","2","172","172"
"templates48","13","en_to_ar","compatibility","10","31","1","4","1","172","172"
"templates48","13","en_to_ar","compatibility","13","42","1","4","1","103","103"
"templates48","13","en_to_ar","compatibility","11","13","1","4","1","172","172"
"templates48","13","en_to_ar","approved-only","2","144","26","70","42","50","50"
"templates48","13","en_to_ar","approved-only","3","144","4","32","16","324","324"
"templates48","13","en_to_ar","approved-only","4","143","2","24","10","325","325"
"templates48","13","en_to_ar","approved-only","5","139","1","14","4","324","324"
"templates48","13","en_to_ar","approved-only","6","112","1","8","2","324","324"
"templates48","13","en_to_ar","approved-only","8","53","1","4","1","180","180"
"templates48","13","en_to_ar","approved-only","7","95","1","5","2","324","324"
"templates48","13","en_to_ar","approved-only","12","18","1","4","1","13","13"
"templates48","13","en_to_ar","approved-only","9","54","1","2","2","94","94"
"templates48","13","en_to_ar","approved-only","10","31","1","4","1","24","24"
"templates48","13","en_to_ar","approved-only","13","42","1","4","1","2","2"
"templates48","13","en_to_ar","approved-only","11","13","1","4","1","16","16"
"templates48","9","ar_to_en","compatibility","6","1","1","1","1","279","279"
"templates48","11","ar_to_en","approved-only","8","4","1","2","1","167","167"
"templates48","13","ar_to_en","approved-only","12","3","1","2","1","14","14"
"templates48","13","ar_to_en","approved-only","10","4","1","2","2","54","54"
"templates6","7","ar_to_en","approved-only","3","18","4","18","8","120","120"
"templates6","7","ar_to_en","approved-only","7","18","4","6","4","219","219"
"templates6","7","ar_to_en","approved-only","5","12","1","6","4","266","266"
"templates6","7","ar_to_en","approved-only","4","7","3","4","4","269","269"
"templates6","9","ar_to_en","compatibility","3","18","8","22","19","279","279"
"templates6","9","ar_to_en","compatibility","4","16","3","8","4","279","279"
"templates6","9","ar_to_en","compatibility","5","17","2","5","3","279","279"
"templates6","9","ar_to_en","compatibility","7","5","1","4","1","279","279"
