experiment,size,mode,policy,length,templatesRequiringLength,minSlots,maxSlots,medianSlots,minCandidates,maxCandidates
"backtracking","13","ar_to_en","compatibility","4","72","2","24","9.5","178","178"
"backtracking","13","ar_to_en","compatibility","5","68","1","14","6","178","178"
"backtracking","13","ar_to_en","compatibility","6","66","1","10","4","178","178"
"backtracking","13","ar_to_en","compatibility","7","55","1","6","2","178","178"
"backtracking","13","ar_to_en","compatibility","13","72","4","5","4","177","177"
"backtracking","13","ar_to_en","compatibility","9","21","1","2","1","178","178"
"backtracking","13","ar_to_en","compatibility","8","29","1","6","2","178","178"
"backtracking","13","ar_to_en","compatibility","10","2","1","1","1","177","177"
"backtracking","13","ar_to_en","compatibility","12","3","1","1","1","177","177"
"backtracking","13","ar_to_en","approved-only","3","72","16","46","30","120","120"
"backtracking","13","ar_to_en","approved-only","4","70","2","24","8","269","269"
"backtracking","13","ar_to_en","approved-only","5","70","1","16","6.5","266","266"
"backtracking","13","ar_to_en","approved-only","6","60","1","12","4.5","239","239"
"backtracking","13","ar_to_en","approved-only","7","47","1","5","2","219","219"
"backtracking","13","ar_to_en","approved-only","13","72","4","6","4","8","8"
"backtracking","13","ar_to_en","approved-only","8","36","1","4","1","167","167"
"backtracking","13","ar_to_en","approved-only","9","20","1","4","1","78","78"
"backtracking","13","en_to_ar","compatibility","2","18","26","52","42","172","172"
"backtracking","13","en_to_ar","compatibility","3","18","10","32","15.5","172","172"
"backtracking","13","en_to_ar","compatibility","4","18","4","15","9.5","173","173"
"backtracking","13","en_to_ar","compatibility","5","18","2","9","5","173","173"
"backtracking","13","en_to_ar","compatibility","6","15","1","4","2","173","173"
"backtracking","13","en_to_ar","compatibility","9","6","1","2","1.5","172","172"
"backtracking","13","en_to_ar","compatibility","10","6","1","4","1","172","172"
"backtracking","13","en_to_ar","compatibility","13","7","1","3","1","103","103"
"backtracking","13","en_to_ar","compatibility","7","12","1","3","1","173","173"
"backtracking","13","en_to_ar","compatibility","8","8","1","4","1","173","173"
"backtracking","13","en_to_ar","compatibility","11","2","1","1","1","172","172"
"backtracking","13","en_to_ar","approved-only","2","18","26","52","42","50","50"
"backtracking","13","en_to_ar","approved-only","3","18","10","32","15.5","324","324"
"backtracking","13","en_to_ar","approved-only","4","18","4","15","9.5","325","325"
"backtracking","13","en_to_ar","approved-only","5","18","2","9","5","324","324"
"backtracking","13","en_to_ar","approved-only","6","15","1","4","2","324","324"
"backtracking","13","en_to_ar","approved-only","9","6","1","2","1.5","94","94"
"backtracking","13","en_to_ar","approved-only","10","6","1","4","1","24","24"
"backtracking","13","en_to_ar","approved-only","13","7","1","3","1","2","2"
"backtracking","13","en_to_ar","approved-only","7","12","1","3","1","324","324"
"backtracking","13","en_to_ar","approved-only","8","8","1","4","1","180","180"
"backtracking","13","en_to_ar","approved-only","11","2","1","1","1","16","16"
"backtracking","9","ar_to_en","compatibility","6","1","1","1","1","279","279"
"backtracking","11","ar_to_en","approved-only","8","4","1","2","1","167","167"
"backtracking","13","ar_to_en","compatibility","11","2","2","2","2","177","177"
"backtracking","13","ar_to_en","approved-only","12","2","1","2","1.5","14","14"
"backtracking","13","ar_to_en","approved-only","10","3","1","2","2","54","54"
"backtracking","13","en_to_ar","compatibility","12","2","1","2","1.5","172","172"
"backtracking","13","en_to_ar","approved-only","12","2","1","2","1.5","13","13"
"backtracking","13","ar_to_en","approved-only","11","1","1","1","1","28","28"
"minIntersection","7","ar_to_en","approved-only","3","72","4","18","8","120","120"
"minIntersection","7","ar_to_en","approved-only","7","72","4","6","4","219","219"
"minIntersection","7","ar_to_en","approved-only","5","44","1","6","4","266","266"
"minIntersection","7","ar_to_en","approved-only","4","25","2","4","4","269","269"
"minIntersection","7","ar_to_en","approved-only","6","3","1","1","1","239","239"
"minIntersection","9","ar_to_en","compatibility","3","72","8","24","18.5","279","279"
"minIntersection","9","ar_to_en","compatibility","4","58","1","8","4","279","279"
"minIntersection","9","ar_to_en","compatibility","5","69","1","7","3","279","279"
"minIntersection","9","ar_to_en","compatibility","7","21","1","4","2","279","279"
"minIntersection","9","ar_to_en","compatibility","9","72","4","7","4","279","279"
"minIntersection","9","ar_to_en","compatibility","8","9","1","2","1","279","279"
"minIntersection","11","ar_to_en","compatibility","3","72","13","36","19","217","217"
"minIntersection","11","ar_to_en","compatibility","4","71","2","18","8","217","217"
"minIntersection","11","ar_to_en","compatibility","5","60","1","14","5","217","217"
"minIntersection","11","ar_to_en","compatibility","7","42","1","5","1","217","217"
"minIntersection","11","ar_to_en","compatibility","11","72","4","6","4","217","217"
"minIntersection","11","ar_to_en","compatibility","6","56","1","8","4","217","217"
"minIntersection","11","ar_to_en","compatibility","9","11","1","2","1","217","217"
"minIntersection","11","ar_to_en","approved-only","3","72","13","30","19.5","120","120"
"minIntersection","11","ar_to_en","approved-only","4","72","1","20","7","269","269"
"minIntersection","11","ar_to_en","approved-only","5","64","1","12","4","266","266"
"minIntersection","11","ar_to_en","approved-only","6","64","1","9","4","239","239"
"minIntersection","11","ar_to_en","approved-only","7","45","1","5","2","219","219"
"minIntersection","11","ar_to_en","approved-only","11","72","4","6","4","28","28"
"minIntersection","11","ar_to_en","approved-only","10","2","2","2","2","54","54"
"minIntersection","11","ar_to_en","approved-only","9","6","1","2","2","78","78"
"minIntersection","13","ar_to_en","compatibility","3","72","18","47","29","177","177"
"minIntersection","13","ar_to_en","compatibility","4","72","2","24","9.5","178","178"
"minIntersection","13","ar_to_en","compatibility","5","68","1","14","6","178","178"
"minIntersection","13","ar_to_en","compatibility","6","66","1","10","4","178","178"
"minIntersection","13","ar_to_en","compatibility","7","55","1","6","2","178","178"
"minIntersection","13","ar_to_en","compatibility","13","72","4","5","4","177","177"
"minIntersection","13","ar_to_en","compatibility","9","21","1","2","1","178","178"
"minIntersection","13","ar_to_en","compatibility","8","29","1","6","2","178","178"
"minIntersection","13","ar_to_en","compatibility","10","2","1","1","1","177","177"
"minIntersection","13","ar_to_en","compatibility","12","3","1","1","1","177","177"
"minIntersection","13","ar_to_en","approved-only","3","72","16","46","30","120","120"
"minIntersection","13","ar_to_en","approved-only","4","70","2","24","8","269","269"
"minIntersection","13","ar_to_en","approved-only","5","70","1","16","6.5","266","266"
"minIntersection","13","ar_to_en","approved-only","6","60","1","12","4.5","239","239"
"minIntersection","13","ar_to_en","approved-only","7","47","1","5","2","219","219"
"minIntersection","13","ar_to_en","approved-only","13","72","4","6","4","8","8"
"minIntersection","13","ar_to_en","approved-only","8","36","1","4","1","167","167"
"minIntersection","13","ar_to_en","approved-only","9","20","1","4","1","78","78"
"minIntersection","13","en_to_ar","compatibility","2","18","26","52","42","172","172"
"minIntersection","13","en_to_ar","compatibility","3","18","10","32","15.5","172","172"
"minIntersection","13","en_to_ar","compatibility","4","18","4","15","9.5","173","173"
"minIntersection","13","en_to_ar","compatibility","5","18","2","9","5","173","173"
"minIntersection","13","en_to_ar","compatibility","6","15","1","4","2","173","173"
"minIntersection","13","en_to_ar","compatibility","9","6","1","2","1.5","172","172"
"minIntersection","13","en_to_ar","compatibility","10","6","1","4","1","172","172"
"minIntersection","13","en_to_ar","compatibility","13","7","1","3","1","103","103"
"minIntersection","13","en_to_ar","compatibility","7","12","1","3","1","173","173"
"minIntersection","13","en_to_ar","compatibility","8","8","1","4","1","173","173"
"minIntersection","13","en_to_ar","compatibility","11","2","1","1","1","172","172"
"minIntersection","13","en_to_ar","approved-only","2","18","26","52","42","50","50"
"minIntersection","13","en_to_ar","approved-only","3","18","10","32","15.5","324","324"
"minIntersection","13","en_to_ar","approved-only","4","18","4","15","9.5","325","325"
"minIntersection","13","en_to_ar","approved-only","5","18","2","9","5","324","324"
"minIntersection","13","en_to_ar","approved-only","6","15","1","4","2","324","324"
"minIntersection","13","en_to_ar","approved-only","9","6","1","2","1.5","94","94"
"minIntersection","13","en_to_ar","approved-only","10","6","1","4","1","24","24"
"minIntersection","13","en_to_ar","approved-only","13","7","1","3","1","2","2"
"minIntersection","13","en_to_ar","approved-only","7","12","1","3","1","324","324"
"minIntersection","13","en_to_ar","approved-only","8","8","1","4","1","180","180"
"minIntersection","13","en_to_ar","approved-only","11","2","1","1","1","16","16"
"minIntersection","9","ar_to_en","compatibility","6","1","1","1","1","279","279"
"minIntersection","11","ar_to_en","approved-only","8","4","1","2","1","167","167"
"minIntersection","13","ar_to_en","compatibility","11","2","2","2","2","177","177"
"minIntersection","13","ar_to_en","approved-only","12","2","1","2","1.5","14","14"
"minIntersection","13","ar_to_en","approved-only","10","3","1","2","2","54","54"
"minIntersection","13","en_to_ar","compatibility","12","2","1","2","1.5","172","172"
"minIntersection","13","en_to_ar","approved-only","12","2","1","2","1.5","13","13"
"minIntersection","13","ar_to_en","approved-only","11","1","1","1","1","28","28"
"minWords","7","ar_to_en","approved-only","3","72","4","18","8","120","120"
"minWords","7","ar_to_en","approved-only","7","72","4","6","4","219","219"
"minWords","7","ar_to_en","approved-only","5","44","1","6","4","266","266"
"minWords","7","ar_to_en","approved-only","4","25","2","4","4","269","269"
"minWords","7","ar_to_en","approved-only","6","3","1","1","1","239","239"
"minWords","9","ar_to_en","compatibility","3","72","8","24","18.5","279","279"
"minWords","9","ar_to_en","compatibility","4","58","1","8","4","279","279"
"minWords","9","ar_to_en","compatibility","5","69","1","7","3","279","279"
"minWords","9","ar_to_en","compatibility","7","21","1","4","2","279","279"
"minWords","9","ar_to_en","compatibility","9","72","4","7","4","279","279"
"minWords","9","ar_to_en","compatibility","8","9","1","2","1","279","279"
"minWords","11","ar_to_en","compatibility","3","72","13","36","19","217","217"
"minWords","11","ar_to_en","compatibility","4","71","2","18","8","217","217"
"minWords","11","ar_to_en","compatibility","5","60","1","14","5","217","217"
"minWords","11","ar_to_en","compatibility","7","42","1","5","1","217","217"
"minWords","11","ar_to_en","compatibility","11","72","4","6","4","217","217"
"minWords","11","ar_to_en","compatibility","6","56","1","8","4","217","217"
"minWords","11","ar_to_en","compatibility","9","11","1","2","1","217","217"
"minWords","11","ar_to_en","approved-only","3","72","13","30","19.5","120","120"
"minWords","11","ar_to_en","approved-only","4","72","1","20","7","269","269"
"minWords","11","ar_to_en","approved-only","5","64","1","12","4","266","266"
"minWords","11","ar_to_en","approved-only","6","64","1","9","4","239","239"
"minWords","11","ar_to_en","approved-only","7","45","1","5","2","219","219"
"minWords","11","ar_to_en","approved-only","11","72","4","6","4","28","28"
"minWords","11","ar_to_en","approved-only","10","2","2","2","2","54","54"
"minWords","11","ar_to_en","approved-only","9","6","1","2","2","78","78"
"minWords","13","ar_to_en","compatibility","3","72","18","47","29","177","177"
"minWords","13","ar_to_en","compatibility","4","72","2","24","9.5","178","178"
"minWords","13","ar_to_en","compatibility","5","68","1","14","6","178","178"
"minWords","13","ar_to_en","compatibility","6","66","1","10","4","178","178"
"minWords","13","ar_to_en","compatibility","7","55","1","6","2","178","178"
"minWords","13","ar_to_en","compatibility","13","72","4","5","4","177","177"
"minWords","13","ar_to_en","compatibility","9","21","1","2","1","178","178"
"minWords","13","ar_to_en","compatibility","8","29","1","6","2","178","178"
"minWords","13","ar_to_en","compatibility","10","2","1","1","1","177","177"
"minWords","13","ar_to_en","compatibility","12","3","1","1","1","177","177"
"minWords","13","ar_to_en","approved-only","3","72","16","46","30","120","120"
"minWords","13","ar_to_en","approved-only","4","70","2","24","8","269","269"
"minWords","13","ar_to_en","approved-only","5","70","1","16","6.5","266","266"
"minWords","13","ar_to_en","approved-only","6","60","1","12","4.5","239","239"
"minWords","13","ar_to_en","approved-only","7","47","1","5","2","219","219"
"minWords","13","ar_to_en","approved-only","13","72","4","6","4","8","8"
"minWords","13","ar_to_en","approved-only","8","36","1","4","1","167","167"
"minWords","13","ar_to_en","approved-only","9","20","1","4","1","78","78"
"minWords","13","en_to_ar","compatibility","2","18","26","52","42","172","172"
"minWords","13","en_to_ar","compatibility","3","18","10","32","15.5","172","172"
"minWords","13","en_to_ar","compatibility","4","18","4","15","9.5","173","173"
"minWords","13","en_to_ar","compatibility","5","18","2","9","5","173","173"
"minWords","13","en_to_ar","compatibility","6","15","1","4","2","173","173"
"minWords","13","en_to_ar","compatibility","9","6","1","2","1.5","172","172"
"minWords","13","en_to_ar","compatibility","10","6","1","4","1","172","172"
"minWords","13","en_to_ar","compatibility","13","7","1","3","1","103","103"
"minWords","13","en_to_ar","compatibility","7","12","1","3","1","173","173"
"minWords","13","en_to_ar","compatibility","8","8","1","4","1","173","173"
"minWords","13","en_to_ar","compatibility","11","2","1","1","1","172","172"
"minWords","13","en_to_ar","approved-only","2","18","26","52","42","50","50"
"minWords","13","en_to_ar","approved-only","3","18","10","32","15.5","324","324"
"minWords","13","en_to_ar","approved-only","4","18","4","15","9.5","325","325"
"minWords","13","en_to_ar","approved-only","5","18","2","9","5","324","324"
"minWords","13","en_to_ar","approved-only","6","15","1","4","2","324","324"
"minWords","13","en_to_ar","approved-only","9","6","1","2","1.5","94","94"
"minWords","13","en_to_ar","approved-only","10","6","1","4","1","24","24"
"minWords","13","en_to_ar","approved-only","13","7","1","3","1","2","2"
"minWords","13","en_to_ar","approved-only","7","12","1","3","1","324","324"
"minWords","13","en_to_ar","approved-only","8","8","1","4","1","180","180"
"minWords","13","en_to_ar","approved-only","11","2","1","1","1","16","16"
"minWords","9","ar_to_en","compatibility","6","1","1","1","1","279","279"
"minWords","11","ar_to_en","approved-only","8","4","1","2","1","167","167"
"minWords","13","ar_to_en","compatibility","11","2","2","2","2","177","177"
"minWords","13","ar_to_en","approved-only","12","2","1","2","1.5","14","14"
"minWords","13","ar_to_en","approved-only","10","3","1","2","2","54","54"
"minWords","13","en_to_ar","compatibility","12","2","1","2","1.5","172","172"
"minWords","13","en_to_ar","approved-only","12","2","1","2","1.5","13","13"
"minWords","13","ar_to_en","approved-only","11","1","1","1","1","28","28"
"poolAll","7","ar_to_en","approved-only","3","72","4","18","8","120","120"
"poolAll","7","ar_to_en","approved-only","7","72","4","6","4","219","219"
"poolAll","7","ar_to_en","approved-only","5","44","1","6","4","266","266"
"poolAll","7","ar_to_en","approved-only","4","25","2","4","4","269","269"
"poolAll","7","ar_to_en","approved-only","6","3","1","1","1","239","239"
"poolAll","9","ar_to_en","compatibility","3","72","4","24","16","630","630"
"poolAll","9","ar_to_en","compatibility","4","51","1","8","4","1687","1687"
"poolAll","9","ar_to_en","compatibility","5","68","1","12","4","2302","2302"
"poolAll","9","ar_to_en","compatibility","8","7","1","1","1","2108","2108"
"poolAll","9","ar_to_en","compatibility","9","72","4","7","4","1582","1582"
"poolAll","9","ar_to_en","compatibility","7","32","1","4","2","2545","2545"
"poolAll","9","ar_to_en","compatibility","6","1","1","1","1","2618","2618"
"poolAll","11","ar_to_en","compatibility","3","72","11","36","19","630","630"
"poolAll","11","ar_to_en","compatibility","4","70","2","18","7","1687","1687"
"poolAll","11","ar_to_en","compatibility","5","61","1","11","6","2302","2302"
"poolAll","11","ar_to_en","compatibility","6","55","1","12","4","2618","2618"
"poolAll","11","ar_to_en","compatibility","7","48","1","4","1","2545","2545"
"poolAll","11","ar_to_en","compatibility","11","72","4","6","4","678","678"
"poolAll","11","ar_to_en","compatibility","9","16","1","4","1","1582","1582"
"poolAll","11","ar_to_en","compatibility","8","2","1","1","1","2108","2108"
"poolAll","11","ar_to_en","approved-only","3","72","13","30","19.5","120","120"
"poolAll","11","ar_to_en","approved-only","4","72","1","20","7","269","269"
"poolAll","11","ar_to_en","approved-only","5","64","1","12","4","266","266"
"poolAll","11","ar_to_en","approved-only","6","64","1","9","4","239","239"
"poolAll","11","ar_to_en","approved-only","7","45","1","5","2","219","219"
"poolAll","11","ar_to_en","approved-only","11","72","4","6","4","28","28"
"poolAll","11","ar_to_en","approved-only","10","2","2","2","2","54","54"
"poolAll","11","ar_to_en","approved-only","9","6","1","2","2","78","78"
"poolAll","13","ar_to_en","compatibility","3","72","14","47","29.5","630","630"
"poolAll","13","ar_to_en","compatibility","4","72","2","20","10","1687","1687"
"poolAll","13","ar_to_en","compatibility","5","68","1","19","7","2302","2302"
"poolAll","13","ar_to_en","compatibility","6","67","1","8","4","2618","2618"
"poolAll","13","ar_to_en","compatibility","7","44","1","5","2","2545","2545"
"poolAll","13","ar_to_en","compatibility","13","72","4","8","4","192","192"
"poolAll","13","ar_to_en","compatibility","8","25","1","4","2","2108","2108"
"poolAll","13","ar_to_en","compatibility","9","21","1","3","1","1582","1582"
"poolAll","13","ar_to_en","approved-only","3","72","16","46","30","120","120"
"poolAll","13","ar_to_en","approved-only","4","70","2","24","8","269","269"
"poolAll","13","ar_to_en","approved-only","5","70","1","16","6.5","266","266"
"poolAll","13","ar_to_en","approved-only","6","60","1","12","4.5","239","239"
"poolAll","13","ar_to_en","approved-only","7","47","1","5","2","219","219"
"poolAll","13","ar_to_en","approved-only","13","72","4","6","4","8","8"
"poolAll","13","ar_to_en","approved-only","8","36","1","4","1","167","167"
"poolAll","13","ar_to_en","approved-only","9","20","1","4","1","78","78"
"poolAll","13","en_to_ar","compatibility","2","18","30","52","41","228","228"
"poolAll","13","en_to_ar","compatibility","3","18","8","29","14.5","2273","2273"
"poolAll","13","en_to_ar","compatibility","4","18","4","16","10","5493","5493"
"poolAll","13","en_to_ar","compatibility","5","18","1","8","4","6594","6594"
"poolAll","13","en_to_ar","compatibility","6","15","1","6","2","4947","4947"
"poolAll","13","en_to_ar","compatibility","8","7","1","4","1","2291","2291"
"poolAll","13","en_to_ar","compatibility","10","5","1","4","1","490","490"
"poolAll","13","en_to_ar","compatibility","13","3","1","2","1","103","103"
"poolAll","13","en_to_ar","compatibility","9","9","1","4","2","1111","1111"
"poolAll","13","en_to_ar","compatibility","11","4","1","2","1","269","269"
"poolAll","13","en_to_ar","compatibility","7","8","1","2","2","4589","4589"
"poolAll","13","en_to_ar","compatibility","12","2","1","2","1.5","175","175"
"poolAll","13","en_to_ar","approved-only","2","18","30","56","42","50","50"
"poolAll","13","en_to_ar","approved-only","3","18","12","31","15.5","367","367"
"poolAll","13","en_to_ar","approved-only","4","18","2","20","9","731","731"
"poolAll","13","en_to_ar","approved-only","5","17","2","10","5","870","870"
"poolAll","13","en_to_ar","approved-only","7","13","1","4","2","502","502"
"poolAll","13","en_to_ar","approved-only","8","10","1","3","1.5","180","180"
"poolAll","13","en_to_ar","approved-only","6","15","1","5","2","631","631"
"poolAll","13","en_to_ar","approved-only","9","6","1","3","1","94","94"
"poolAll","13","en_to_ar","approved-only","10","3","1","2","1","24","24"
"poolAll","13","en_to_ar","approved-only","13","7","1","2","1","2","2"
"poolAll","11","ar_to_en","approved-only","8","4","1","2","1","167","167"
"poolAll","13","ar_to_en","compatibility","11","5","1","1","1","678","678"
"poolAll","13","ar_to_en","compatibility","12","2","1","1","1","363","363"
"poolAll","13","ar_to_en","approved-only","12","2","1","2","1.5","14","14"
"poolAll","13","ar_to_en","approved-only","10","3","1","2","2","54","54"
"poolAll","11","ar_to_en","compatibility","10","3","1","1","1","1043","1043"
"poolAll","13","ar_to_en","approved-only","11","1","1","1","1","28","28"
"poolAll","13","en_to_ar","approved-only","12","1","1","1","1","13","13"
"arc","7","ar_to_en","approved-only","3","72","4","18","8","120","120"
"arc","7","ar_to_en","approved-only","7","72","4","6","4","219","219"
"arc","7","ar_to_en","approved-only","5","44","1","6","4","266","266"
"arc","7","ar_to_en","approved-only","4","25","2","4","4","269","269"
"arc","7","ar_to_en","approved-only","6","3","1","1","1","239","239"
"arc","9","ar_to_en","compatibility","3","72","8","24","18.5","279","279"
"arc","9","ar_to_en","compatibility","4","58","1","8","4","279","279"
"arc","9","ar_to_en","compatibility","5","69","1","7","3","279","279"
"arc","9","ar_to_en","compatibility","7","21","1","4","2","279","279"
"arc","9","ar_to_en","compatibility","9","72","4","7","4","279","279"
"arc","9","ar_to_en","compatibility","8","9","1","2","1","279","279"
"arc","11","ar_to_en","compatibility","3","72","13","36","19","217","217"
"arc","11","ar_to_en","compatibility","4","71","2","18","8","217","217"
"arc","11","ar_to_en","compatibility","5","60","1","14","5","217","217"
"arc","11","ar_to_en","compatibility","7","42","1","5","1","217","217"
"arc","11","ar_to_en","compatibility","11","72","4","6","4","217","217"
"arc","11","ar_to_en","compatibility","6","56","1","8","4","217","217"
"arc","11","ar_to_en","compatibility","9","11","1","2","1","217","217"
"arc","11","ar_to_en","approved-only","3","72","13","30","19.5","120","120"
"arc","11","ar_to_en","approved-only","4","72","1","20","7","269","269"
"arc","11","ar_to_en","approved-only","5","64","1","12","4","266","266"
"arc","11","ar_to_en","approved-only","6","64","1","9","4","239","239"
"arc","11","ar_to_en","approved-only","7","45","1","5","2","219","219"
"arc","11","ar_to_en","approved-only","11","72","4","6","4","28","28"
"arc","11","ar_to_en","approved-only","10","2","2","2","2","54","54"
"arc","11","ar_to_en","approved-only","9","6","1","2","2","78","78"
"arc","13","ar_to_en","compatibility","3","72","18","47","29","177","177"
"arc","13","ar_to_en","compatibility","4","72","2","24","9.5","178","178"
"arc","13","ar_to_en","compatibility","5","68","1","14","6","178","178"
"arc","13","ar_to_en","compatibility","6","66","1","10","4","178","178"
"arc","13","ar_to_en","compatibility","7","55","1","6","2","178","178"
"arc","13","ar_to_en","compatibility","13","72","4","5","4","177","177"
"arc","13","ar_to_en","compatibility","9","21","1","2","1","178","178"
"arc","13","ar_to_en","compatibility","8","29","1","6","2","178","178"
"arc","13","ar_to_en","compatibility","10","2","1","1","1","177","177"
"arc","13","ar_to_en","compatibility","12","3","1","1","1","177","177"
"arc","13","ar_to_en","approved-only","3","72","16","46","30","120","120"
"arc","13","ar_to_en","approved-only","4","70","2","24","8","269","269"
"arc","13","ar_to_en","approved-only","5","70","1","16","6.5","266","266"
"arc","13","ar_to_en","approved-only","6","60","1","12","4.5","239","239"
"arc","13","ar_to_en","approved-only","7","47","1","5","2","219","219"
"arc","13","ar_to_en","approved-only","13","72","4","6","4","8","8"
"arc","13","ar_to_en","approved-only","8","36","1","4","1","167","167"
"arc","13","ar_to_en","approved-only","9","20","1","4","1","78","78"
"arc","13","en_to_ar","compatibility","2","18","26","52","42","172","172"
"arc","13","en_to_ar","compatibility","3","18","10","32","15.5","172","172"
"arc","13","en_to_ar","compatibility","4","18","4","15","9.5","173","173"
"arc","13","en_to_ar","compatibility","5","18","2","9","5","173","173"
"arc","13","en_to_ar","compatibility","6","15","1","4","2","173","173"
"arc","13","en_to_ar","compatibility","9","6","1","2","1.5","172","172"
"arc","13","en_to_ar","compatibility","10","6","1","4","1","172","172"
"arc","13","en_to_ar","compatibility","13","7","1","3","1","103","103"
"arc","13","en_to_ar","compatibility","7","12","1","3","1","173","173"
"arc","13","en_to_ar","compatibility","8","8","1","4","1","173","173"
"arc","13","en_to_ar","compatibility","11","2","1","1","1","172","172"
"arc","13","en_to_ar","approved-only","2","18","26","52","42","50","50"
"arc","13","en_to_ar","approved-only","3","18","10","32","15.5","324","324"
"arc","13","en_to_ar","approved-only","4","18","4","15","9.5","325","325"
"arc","13","en_to_ar","approved-only","5","18","2","9","5","324","324"
"arc","13","en_to_ar","approved-only","6","15","1","4","2","324","324"
"arc","13","en_to_ar","approved-only","9","6","1","2","1.5","94","94"
"arc","13","en_to_ar","approved-only","10","6","1","4","1","24","24"
"arc","13","en_to_ar","approved-only","13","7","1","3","1","2","2"
"arc","13","en_to_ar","approved-only","7","12","1","3","1","324","324"
"arc","13","en_to_ar","approved-only","8","8","1","4","1","180","180"
"arc","13","en_to_ar","approved-only","11","2","1","1","1","16","16"
"arc","9","ar_to_en","compatibility","6","1","1","1","1","279","279"
"arc","11","ar_to_en","approved-only","8","4","1","2","1","167","167"
"arc","13","ar_to_en","compatibility","11","2","2","2","2","177","177"
"arc","13","ar_to_en","approved-only","12","2","1","2","1.5","14","14"
"arc","13","ar_to_en","approved-only","10","3","1","2","2","54","54"
"arc","13","en_to_ar","compatibility","12","2","1","2","1.5","172","172"
"arc","13","en_to_ar","approved-only","12","2","1","2","1.5","13","13"
"arc","13","ar_to_en","approved-only","11","1","1","1","1","28","28"
"pool3000","7","ar_to_en","approved-only","3","72","4","18","8","120","120"
"pool3000","7","ar_to_en","approved-only","7","72","4","6","4","219","219"
"pool3000","7","ar_to_en","approved-only","5","44","1","6","4","266","266"
"pool3000","7","ar_to_en","approved-only","4","25","2","4","4","269","269"
"pool3000","7","ar_to_en","approved-only","6","3","1","1","1","239","239"
"pool3000","9","ar_to_en","compatibility","3","72","4","24","19.5","422","422"
"pool3000","9","ar_to_en","compatibility","5","63","1","12","3","422","422"
"pool3000","9","ar_to_en","compatibility","9","72","4","8","4","421","421"
"pool3000","9","ar_to_en","compatibility","4","60","1","8","4","422","422"
"pool3000","9","ar_to_en","compatibility","7","24","1","4","1","422","422"
"pool3000","11","ar_to_en","compatibility","3","72","11","32","19","328","328"
"pool3000","11","ar_to_en","compatibility","4","70","1","18","7","329","329"
"pool3000","11","ar_to_en","compatibility","5","65","1","10","5","328","328"
"pool3000","11","ar_to_en","compatibility","6","63","1","8","4","328","328"
"pool3000","11","ar_to_en","compatibility","7","41","1","5","2","328","328"
"pool3000","11","ar_to_en","compatibility","11","72","4","6","4","328","328"
"pool3000","11","ar_to_en","compatibility","10","4","1","2","1.5","328","328"
"pool3000","11","ar_to_en","compatibility","9","16","1","3","1.5","328","328"
"pool3000","11","ar_to_en","approved-only","3","72","13","30","19.5","120","120"
"pool3000","11","ar_to_en","approved-only","4","72","1","20","7","269","269"
"pool3000","11","ar_to_en","approved-only","5","64","1","12","4","266","266"
"pool3000","11","ar_to_en","approved-only","6","64","1","9","4","239","239"
"pool3000","11","ar_to_en","approved-only","7","45","1","5","2","219","219"
"pool3000","11","ar_to_en","approved-only","11","72","4","6","4","28","28"
"pool3000","11","ar_to_en","approved-only","10","2","2","2","2","54","54"
"pool3000","11","ar_to_en","approved-only","9","6","1","2","2","78","78"
"pool3000","13","ar_to_en","compatibility","3","72","14","46","29","276","276"
"pool3000","13","ar_to_en","compatibility","4","72","2","16","9","277","277"
"pool3000","13","ar_to_en","compatibility","5","68","2","20","7","276","276"
"pool3000","13","ar_to_en","compatibility","7","52","1","6","2","276","276"
"pool3000","13","ar_to_en","compatibility","13","72","4","5","4","192","192"
"pool3000","13","ar_to_en","compatibility","6","63","1","12","5","276","276"
"pool3000","13","ar_to_en","compatibility","9","19","1","2","1","276","276"
"pool3000","13","ar_to_en","compatibility","8","32","1","6","2","276","276"
"pool3000","13","ar_to_en","compatibility","11","12","1","2","1","276","276"
"pool3000","13","ar_to_en","compatibility","10","1","1","1","1","276","276"
"pool3000","13","ar_to_en","approved-only","3","72","16","46","30","120","120"
"pool3000","13","ar_to_en","approved-only","4","70","2","24","8","269","269"
"pool3000","13","ar_to_en","approved-only","5","70","1","16","6.5","266","266"
"pool3000","13","ar_to_en","approved-only","6","60","1","12","4.5","239","239"
"pool3000","13","ar_to_en","approved-only","7","47","1","5","2","219","219"
"pool3000","13","ar_to_en","approved-only","13","72","4","6","4","8","8"
"pool3000","13","ar_to_en","approved-only","8","36","1","4","1","167","167"
"pool3000","13","ar_to_en","approved-only","9","20","1","4","1","78","78"
"pool3000","13","en_to_ar","compatibility","2","18","32","56","45","228","228"
"pool3000","13","en_to_ar","compatibility","3","18","8","26","14","278","278"
"pool3000","13","en_to_ar","compatibility","4","18","6","19","9.5","279","279"
"pool3000","13","en_to_ar","compatibility","5","16","1","10","4","278","278"
"pool3000","13","en_to_ar","compatibility","6","12","2","4","2.5","278","278"
"pool3000","13","en_to_ar","compatibility","7","13","1","6","2","278","278"
"pool3000","13","en_to_ar","compatibility","10","5","1","2","1","278","278"
"pool3000","13","en_to_ar","compatibility","8","7","1","2","2","278","278"
"pool3000","13","en_to_ar","compatibility","13","5","1","2","1","103","103"
"pool3000","13","en_to_ar","compatibility","9","4","2","3","2","278","278"
