experiment,size,mode,policy,runs,successful,successRate,medianMs,p95Ms,medianWords,medianIntersections,candidateCount
"minIntersection","13","ar_to_en","approved-only","3","0","0","139.37079100008123","143.24312499992084","null","null","1477"
"minIntersection","13","en_to_ar","compatibility","3","0","0","1806.3594590000575","1807.3089160000673","null","null","2000"
"minIntersection","13","en_to_ar","approved-only","3","0","0","1805.9183340000454","1806.0678750000661","null","null","2000"
"minWords","7","ar_to_en","approved-only","3","0","0","3002.1131250000326","3002.2937499999534","null","null","1128"
"minWords","9","ar_to_en","compatibility","3","3","100","1321.2751250000438","2251.2584999999963","32","64","2000"
"minWords","11","ar_to_en","compatibility","3","0","0","4503.117708000005","4503.805500000017","null","null","2000"
"minWords","11","ar_to_en","approved-only","3","0","0","4503.066833999939","4504.042458000011","null","null","1455"
"minWords","13","ar_to_en","compatibility","3","0","0","4515.641041000024","4516.195458999951","null","null","2000"
"minWords","13","ar_to_en","approved-only","3","0","0","140.04575000004843","141.42816699994728","null","null","1477"
"minWords","13","en_to_ar","compatibility","3","0","0","1806.1767080000136","1806.3849590000464","null","null","2000"
"minWords","13","en_to_ar","approved-only","3","0","0","1805.8949169999687","1806.6962920000078","null","null","2000"
"poolAll","7","ar_to_en","approved-only","3","0","0","3002.257250000024","3002.3069999999134","null","null","1128"
"poolAll","9","ar_to_en","compatibility","3","3","100","188.126125000068","350.439708000049","30","66","13519"
"poolAll","11","ar_to_en","compatibility","3","3","100","1189.5199160000775","2046.1388750000624","43","95","15240"
"poolAll","11","ar_to_en","approved-only","3","0","0","4502.497625000076","4502.816250000033","null","null","1455"
"poolAll","13","ar_to_en","compatibility","3","3","100","608.6450839999598","812.5117910000263","62","134","15795"
"poolAll","13","ar_to_en","approved-only","3","0","0","141.1146670000162","144.1783750000177","null","null","1477"
"poolAll","13","en_to_ar","compatibility","3","3","100","80.03437500004657","83.86987499997485","82","119","28563"
"poolAll","13","en_to_ar","approved-only","3","0","0","1807.1241250000894","1807.627542000031","null","null","3480"
"arc","7","ar_to_en","approved-only","3","0","0","3002.1120420000516","3002.3279999999795","null","null","1128"
"arc","9","ar_to_en","compatibility","3","3","100","356.09762499993667","1024.0996670000022","32","64","2000"
"arc","11","ar_to_en","compatibility","3","0","0","4502.518167000031","4502.940166000044","null","null","2000"
"arc","11","ar_to_en","approved-only","3","0","0","4382.91091700003","4481.037750000018","null","null","1455"
"arc","13","ar_to_en","compatibility","3","0","0","4512.724916999927","4514.016874999972","null","null","2000"
"arc","13","ar_to_en","approved-only","3","0","0","2340.8005419999827","2374.3522499999963","null","null","1477"
"arc","13","en_to_ar","compatibility","3","3","100","62.695707999984734","64.87045799999032","82","119","2000"
"arc","13","en_to_ar","approved-only","3","0","0","1805.8831670000218","1805.9945000000298","null","null","2000"
"pool3000","7","ar_to_en","approved-only","3","0","0","3002.1852910000016","3006.1501670000002","null","null","1128"
"pool3000","9","ar_to_en","compatibility","3","3","100","354.15741699999944","845.6504590000004","32","64","3000"
"pool3000","11","ar_to_en","compatibility","3","0","0","4504.389959","4505.233708000001","null","null","3000"
"pool3000","11","ar_to_en","approved-only","3","0","0","4502.399000000001","4503.19975","null","null","1455"
"pool3000","13","ar_to_en","compatibility","3","0","0","4514.728832999999","4515.651666000005","null","null","3000"
"pool3000","13","ar_to_en","approved-only","3","0","0","139.10208399999829","143.4729159999988","null","null","1477"
