seed,size,mode,policy,ms,solverAttempts,observedReason,timeoutChecks,viableTemplates,validationErrors
"5","13","ar_to_en","approved-only","92.62266699998872","480","bounded_search_no_solution_reason_unestablished","0","24","[]"
"6","7","ar_to_en","approved-only","3002.4375","24","solver_deadline_observed_root_cause_unestablished","105","24","[]"
"6","9","ar_to_en","approved-only","3990.7402500000026","60","solver_deadline_observed_root_cause_unestablished","99","24","[]"
"6","9","ar_to_en","compatibility","3991.9259160000074","24","solver_deadline_observed_root_cause_unestablished","142","24","[]"
"6","11","en_to_ar","approved-only","1803.7214580000145","2","solver_deadline_observed_root_cause_unestablished","28","6","[]"
"6","11","ar_to_en","approved-only","4503.55045900002","284","solver_deadline_observed_root_cause_unestablished","60","24","[]"
"6","11","ar_to_en","compatibility","4503.279084000009","24","solver_deadline_observed_root_cause_unestablished","154","24","[]"
"6","13","en_to_ar","approved-only","1806.8140829999757","2","solver_deadline_observed_root_cause_unestablished","45","6","[]"
"6","13","ar_to_en","approved-only","93.3507919999829","480","bounded_search_no_solution_reason_unestablished","0","24","[]"
"6","13","ar_to_en","compatibility","4513.752582999994","24","solver_deadline_observed_root_cause_unestablished","134","24","[]"
"7","7","ar_to_en","approved-only","3002.4157500000147","24","solver_deadline_observed_root_cause_unestablished","93","24","[]"
"7","9","en_to_ar","approved-only","1702.5653749999765","2","solver_deadline_observed_root_cause_unestablished","31","6","[]"
"7","9","ar_to_en","approved-only","3990.9728750000068","57","solver_deadline_observed_root_cause_unestablished","103","24","[]"
"7","11","en_to_ar","approved-only","1804.2200829999929","2","solver_deadline_observed_root_cause_unestablished","44","6","[]"
"7","11","ar_to_en","compatibility","4503.275957999984","24","solver_deadline_observed_root_cause_unestablished","154","24","[]"
"7","11","ar_to_en","approved-only","4499.193499999994","290","solver_deadline_observed_root_cause_unestablished","53","24","[]"
"7","13","en_to_ar","approved-only","1806.1470419999969","2","solver_deadline_observed_root_cause_unestablished","38","6","[]"
"7","13","ar_to_en","compatibility","4513.159209000005","24","solver_deadline_observed_root_cause_unestablished","136","24","[]"
"7","13","ar_to_en","approved-only","91.44162500000675","480","bounded_search_no_solution_reason_unestablished","0","24","[]"
"8","7","ar_to_en","approved-only","3002.309291999991","24","solver_deadline_observed_root_cause_unestablished","121","24","[]"
"8","9","en_to_ar","approved-only","1702.735875000013","2","solver_deadline_observed_root_cause_unestablished","29","6","[]"
"8","9","ar_to_en","approved-only","3990.873292000004","57","solver_deadline_observed_root_cause_unestablished","110","24","[]"
"8","11","en_to_ar","approved-only","1804.169458999997","2","solver_deadline_observed_root_cause_unestablished","51","6","[]"
"8","11","ar_to_en","approved-only","4477.835999999981","284","solver_deadline_observed_root_cause_unestablished","72","24","[]"
"8","11","ar_to_en","compatibility","4502.3070830000215","24","solver_deadline_observed_root_cause_unestablished","159","24","[]"
"8","13","en_to_ar","approved-only","1806.8977500000037","22","solver_deadline_observed_root_cause_unestablished","91","6","[]"
"8","13","ar_to_en","approved-only","92.51416600000812","480","bounded_search_no_solution_reason_unestablished","0","24","[]"
"8","13","ar_to_en","compatibility","4513.084582999989","24","solver_deadline_observed_root_cause_unestablished","144","24","[]"
"9","7","ar_to_en","approved-only","3002.4375","24","solver_deadline_observed_root_cause_unestablished","120","24","[]"
"9","9","ar_to_en","approved-only","3991.564624999999","55","solver_deadline_observed_root_cause_unestablished","84","24","[]"
"9","11","en_to_ar","approved-only","1803.9117090000072","2","solver_deadline_observed_root_cause_unestablished","31","6","[]"
"9","11","ar_to_en","compatibility","4502.173999999999","24","solver_deadline_observed_root_cause_unestablished","160","24","[]"
"9","11","ar_to_en","approved-only","4486.889084000024","266","solver_deadline_observed_root_cause_unestablished","61","24","[]"
"9","13","en_to_ar","approved-only","1805.7027499999967","2","solver_deadline_observed_root_cause_unestablished","56","6","[]"
"9","13","ar_to_en","compatibility","4515.256584000017","24","solver_deadline_observed_root_cause_unestablished","135","24","[]"
"9","13","ar_to_en","approved-only","89.36745900003007","480","bounded_search_no_solution_reason_unestablished","0","24","[]"
"10","7","ar_to_en","approved-only","3002.3748749999795","24","solver_deadline_observed_root_cause_unestablished","117","24","[]"
