seed,size,mode,policy,success,generationMs,entries,intersections,candidateCount,candidateLengths,solverAttempts,timeoutChecks,viableTemplates,totalTemplates,validationErrors,qualityErrors,failureReason
"2","11","en_to_ar","compatibility","true","1012.9222499999996","61","85","2000","{""2"":200,""3"":200,""4"":200,""5"":200,""6"":200,""7"":200,""8"":200,""9"":200,""10"":200,""11"":200}","2","31","6","6","[]","[]",""
"2","11","ar_to_en","approved-only","false","4512.784749999999","0","0","2426","{""2"":15,""3"":182,""4"":392,""5"":398,""6"":408,""7"":456,""8"":220,""9"":201,""10"":75,""11"":79}","248","82","24","24","[]","[]","solver_deadline_observed_root_cause_unestablished"
"2","11","ar_to_en","compatibility","true","2414.025041000001","43","94","6000","{""2"":47,""3"":629,""4"":666,""5"":666,""6"":666,""7"":666,""8"":665,""9"":665,""10"":665,""11"":665}","28","118","24","24","[]","[]",""
"2","13","en_to_ar","approved-only","false","1805.9162910000014","0","0","2000","{""2"":80,""3"":272,""4"":273,""5"":273,""6"":273,""7"":273,""8"":272,""9"":167,""10"":51,""11"":34,""12"":25,""13"":7}","2","61","6","6","[]","[]","solver_deadline_observed_root_cause_unestablished"
"2","13","en_to_ar","compatibility","true","59.91891700000269","82","120","2000","{""2"":172,""3"":172,""4"":173,""5"":173,""6"":173,""7"":173,""8"":173,""9"":173,""10"":173,""11"":172,""12"":171,""13"":102}","1","0","6","6","[]","[]",""
"2","13","ar_to_en","approved-only","false","1326.911291999997","0","0","2477","{""2"":15,""3"":182,""4"":392,""5"":398,""6"":408,""7"":456,""8"":220,""9"":201,""10"":75,""11"":79,""12"":18,""13"":33}","480","0","24","24","[]","[]","bounded_search_no_solution_reason_unestablished"
"2","13","ar_to_en","compatibility","true","296.2775829999955","63","130","6000","{""2"":47,""3"":599,""4"":600,""5"":600,""6"":600,""7"":600,""8"":600,""9"":600,""10"":600,""11"":599,""12"":363,""13"":192}","2","4","24","24","[]","[]",""
"3","7","en_to_ar","compatibility","true","4.189124999997148","26","35","2000","{""2"":204,""3"":360,""4"":359,""5"":359,""6"":359,""7"":359}","1","0","6","6","[]","[]",""
"3","7","en_to_ar","approved-only","true","3.1012919999993755","26","35","2000","{""2"":76,""3"":385,""4"":385,""5"":385,""6"":385,""7"":384}","1","0","6","6","[]","[]",""
"3","7","ar_to_en","compatibility","true","4.592750000003434","22","41","2000","{""2"":47,""3"":391,""4"":391,""5"":391,""6"":390,""7"":390}","1","0","24","24","[]","[]",""
"3","7","ar_to_en","approved-only","true","146.18641599999683","22","41","1851","{""2"":15,""3"":182,""4"":392,""5"":398,""6"":408,""7"":456}","2","3","24","24","[]","[]",""
"3","9","en_to_ar","compatibility","true","9.620875000000524","40","59","2000","{""2"":217,""3"":255,""4"":255,""5"":255,""6"":255,""7"":255,""8"":254,""9"":254}","1","0","6","6","[]","[]",""
"3","9","en_to_ar","approved-only","true","15.04070800000045","40","59","2000","{""2"":80,""3"":307,""4"":307,""5"":307,""6"":307,""7"":306,""8"":262,""9"":124}","1","0","6","6","[]","[]",""
"3","9","ar_to_en","compatibility","true","710.382292000002","30","66","4000","{""2"":47,""3"":565,""4"":565,""5"":565,""6"":565,""7"":565,""8"":564,""9"":564}","5","14","24","24","[]","[]",""
"3","9","ar_to_en","approved-only","true","801.0917919999993","32","64","2272","{""2"":15,""3"":182,""4"":392,""5"":398,""6"":408,""7"":456,""8"":220,""9"":201}","5","15","24","24","[]","[]",""
"3","11","en_to_ar","compatibility","true","1021.5435419999994","62","87","2000","{""2"":200,""3"":200,""4"":200,""5"":200,""6"":200,""7"":200,""8"":200,""9"":200,""10"":200,""11"":200}","2","42","6","6","[]","[]",""
"3","11","en_to_ar","approved-only","true","94.87933299999713","62","87","2000","{""2"":80,""3"":280,""4"":281,""5"":281,""6"":281,""7"":281,""8"":280,""9"":154,""10"":49,""11"":33}","1","0","6","6","[]","[]",""
"3","11","ar_to_en","compatibility","true","1292.7535000000062","40","88","6000","{""2"":47,""3"":629,""4"":666,""5"":666,""6"":666,""7"":666,""8"":665,""9"":665,""10"":665,""11"":665}","25","112","24","24","[]","[]",""
"3","11","ar_to_en","approved-only","false","4513.120541999997","0","0","2426","{""2"":15,""3"":182,""4"":392,""5"":398,""6"":408,""7"":456,""8"":220,""9"":201,""10"":75,""11"":79}","265","63","24","24","[]","[]","solver_deadline_observed_root_cause_unestablished"
"3","13","en_to_ar","compatibility","true","45.304292000000714","78","119","2000","{""2"":172,""3"":172,""4"":173,""5"":173,""6"":173,""7"":173,""8"":173,""9"":173,""10"":173,""11"":172,""12"":171,""13"":102}","1","0","6","6","[]","[]",""
"3","13","en_to_ar","approved-only","false","1806.4421250000014","0","0","2000","{""2"":80,""3"":272,""4"":273,""5"":273,""6"":273,""7"":273,""8"":272,""9"":167,""10"":51,""11"":34,""12"":25,""13"":7}","2","34","6","6","[]","[]","solver_deadline_observed_root_cause_unestablished"
"3","13","ar_to_en","compatibility","true","96.70087500000227","64","134","6000","{""2"":47,""3"":599,""4"":600,""5"":600,""6"":600,""7"":600,""8"":600,""9"":600,""10"":600,""11"":599,""12"":363,""13"":192}","1","0","24","24","[]","[]",""
"3","13","ar_to_en","approved-only","false","1438.5999579999989","0","0","2477","{""2"":15,""3"":182,""4"":392,""5"":398,""6"":408,""7"":456,""8"":220,""9"":201,""10"":75,""11"":79,""12"":18,""13"":33}","480","0","24","24","[]","[]","bounded_search_no_solution_reason_unestablished"
"4","7","en_to_ar","approved-only","true","4.564624999999069","26","37","2000","{""2"":76,""3"":385,""4"":385,""5"":385,""6"":385,""7"":384}","1","0","6","6","[]","[]",""
"4","7","en_to_ar","compatibility","true","4.056291000000783","26","37","2000","{""2"":204,""3"":360,""4"":359,""5"":359,""6"":359,""7"":359}","1","0","6","6","[]","[]",""
"4","7","ar_to_en","approved-only","true","5.717749999996158","22","41","1851","{""2"":15,""3"":182,""4"":392,""5"":398,""6"":408,""7"":456}","1","0","24","24","[]","[]",""
"4","7","ar_to_en","compatibility","true","5.499374999999418","22","41","2000","{""2"":47,""3"":391,""4"":391,""5"":391,""6"":390,""7"":390}","1","0","24","24","[]","[]",""
"4","9","en_to_ar","approved-only","true","877.7897909999956","42","57","2000","{""2"":80,""3"":307,""4"":307,""5"":307,""6"":307,""7"":306,""8"":262,""9"":124}","2","22","6","6","[]","[]",""
"4","9","en_to_ar","compatibility","true","6.730041999995592","42","57","2000","{""2"":217,""3"":255,""4"":255,""5"":255,""6"":255,""7"":255,""8"":254,""9"":254}","1","0","6","6","[]","[]",""
"4","9","ar_to_en","approved-only","true","631.786791999999","32","64","2272","{""2"":15,""3"":182,""4"":392,""5"":398,""6"":408,""7"":456,""8"":220,""9"":201}","4","9","24","24","[]","[]",""
"4","9","ar_to_en","compatibility","true","205.0349589999969","30","66","4000","{""2"":47,""3"":565,""4"":565,""5"":565,""6"":565,""7"":565,""8"":564,""9"":564}","2","4","24","24","[]","[]",""
"4","11","en_to_ar","approved-only","true","1038.1086670000004","59","85","2000","{""2"":80,""3"":280,""4"":281,""5"":281,""6"":281,""7"":281,""8"":280,""9"":154,""10"":49,""11"":33}","2","17","6","6","[]","[]",""
"4","11","en_to_ar","compatibility","true","46.66812500000378","59","85","2000","{""2"":200,""3"":200,""4"":200,""5"":200,""6"":200,""7"":200,""8"":200,""9"":200,""10"":200,""11"":200}","1","0","6","6","[]","[]",""
"4","11","ar_to_en","approved-only","true","1164.0995410000032","44","88","2426","{""2"":15,""3"":182,""4"":392,""5"":398,""6"":408,""7"":456,""8"":220,""9"":201,""10"":75,""11"":79}","25","52","24","24","[]","[]",""
"4","11","ar_to_en","compatibility","true","1279.3035840000011","40","88","6000","{""2"":47,""3"":629,""4"":666,""5"":666,""6"":666,""7"":666,""8"":665,""9"":665,""10"":665,""11"":665}","25","124","24","24","[]","[]",""
"4","13","en_to_ar","approved-only","true","1090.3197919999948","82","119","2000","{""2"":80,""3"":272,""4"":273,""5"":273,""6"":273,""7"":273,""8"":272,""9"":167,""10"":51,""11"":34,""12"":25,""13"":7}","2","21","6","6","[]","[]",""
"4","13","en_to_ar","compatibility","true","148.3929169999974","82","119","2000","{""2"":172,""3"":172,""4"":173,""5"":173,""6"":173,""7"":173,""8"":173,""9"":173,""10"":173,""11"":172,""12"":171,""13"":102}","1","0","6","6","[]","[]",""
"4","13","ar_to_en","approved-only","false","1319.7235419999997","0","0","2477","{""2"":15,""3"":182,""4"":392,""5"":398,""6"":408,""7"":456,""8"":220,""9"":201,""10"":75,""11"":79,""12"":18,""13"":33}","480","0","24","24","[]","[]","bounded_search_no_solution_reason_unestablished"
"4","13","ar_to_en","compatibility","true","2590.717208000002","61","127","6000","{""2"":47,""3"":599,""4"":600,""5"":600,""6"":600,""7"":600,""8"":600,""9"":600,""10"":600,""11"":599,""12"":363,""13"":192}","14","48","24","24","[]","[]",""
"5","7","en_to_ar","compatibility","true","3.922416000001249","24","36","2000","{""2"":204,""3"":360,""4"":359,""5"":359,""6"":359,""7"":359}","1","0","6","6","[]","[]",""
"5","7","en_to_ar","approved-only","true","2.9336250000051223","24","36","2000","{""2"":76,""3"":385,""4"":385,""5"":385,""6"":385,""7"":384}","1","0","6","6","[]","[]",""
"5","7","ar_to_en","compatibility","true","6.3842920000024606","22","41","2000","{""2"":47,""3"":391,""4"":391,""5"":391,""6"":390,""7"":390}","1","0","24","24","[]","[]",""
"5","7","ar_to_en","approved-only","true","7.284083000005921","22","41","1851","{""2"":15,""3"":182,""4"":392,""5"":398,""6"":408,""7"":456}","1","0","24","24","[]","[]",""
"5","9","en_to_ar","compatibility","true","9.423041999994894","44","57","2000","{""2"":217,""3"":255,""4"":255,""5"":255,""6"":255,""7"":255,""8"":254,""9"":254}","1","0","6","6","[]","[]",""
"5","9","en_to_ar","approved-only","true","6.817457999997714","44","57","2000","{""2"":80,""3"":307,""4"":307,""5"":307,""6"":307,""7"":306,""8"":262,""9"":124}","1","0","6","6","[]","[]",""
"5","9","ar_to_en","compatibility","true","385.747209000001","32","64","4000","{""2"":47,""3"":565,""4"":565,""5"":565,""6"":565,""7"":565,""8"":564,""9"":564}","3","7","24","24","[]","[]",""
"5","9","ar_to_en","approved-only","true","621.7085000000079","32","64","2272","{""2"":15,""3"":182,""4"":392,""5"":398,""6"":408,""7"":456,""8"":220,""9"":201}","4","11","24","24","[]","[]",""
"5","11","en_to_ar","compatibility","true","1577.992167000004","61","85","2000","{""2"":200,""3"":200,""4"":200,""5"":200,""6"":200,""7"":200,""8"":200,""9"":200,""10"":200,""11"":200}","2","25","6","6","[]","[]",""
"5","11","en_to_ar","approved-only","false","1804.24158300001","0","0","2000","{""2"":80,""3"":280,""4"":281,""5"":281,""6"":281,""7"":281,""8"":280,""9"":154,""10"":49,""11"":33}","2","15","6","6","[]","[]","solver_deadline_observed_root_cause_unestablished"
"5","11","ar_to_en","compatibility","true","1196.6841669999994","42","87","6000","{""2"":47,""3"":629,""4"":666,""5"":666,""6"":666,""7"":666,""8"":665,""9"":665,""10"":665,""11"":665}","25","121","24","24","[]","[]",""
"5","11","ar_to_en","approved-only","false","4515.734624999997","0","0","2426","{""2"":15,""3"":182,""4"":392,""5"":398,""6"":408,""7"":456,""8"":220,""9"":201,""10"":75,""11"":79}","111","74","24","24","[]","[]","solver_deadline_observed_root_cause_unestablished"
